23,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:59</div>",," 15:59 Гладковський хочет взять на поруки подозреваемого по делу ""Трейд Коммодити"" Заместитель секретаря СНБО Олег Гладковський готов взять на поруки заместителя министра обороны Игоря Павловского, задержанного по подозрению в растрате. ","<div class=""article__subtitle"">Заместитель секретаря СНБО Олег Гладковський готов взять на поруки заместителя министра обороны Игоря Павловского, задержанного по подозрению в растрате.</div>"
24,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:56</div>",," 15:56 План ремонту дорог на 2017 год выполнен не будет – Омелян В 2017 году в Украине будет капитально отремонтировано около 2 тысяч километров автомобильных дорог из планируемых 2,5 тысяч километров, в связи с недостаточным финансированием. ","<div class=""article__subtitle"">В 2017 году в Украине будет капитально отремонтировано около 2 тысяч километров автомобильных дорог из планируемых 2,5 тысяч километров, в связи с недостаточным финансированием.</div>"
25,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:39</div>",," 15:39 Консулы встретились с экс-охранником Яроша в брянском СИЗО в РФ Украинские консулы встретились с экс-охранником нардепа Дмитрия Яроша Александром Шумковым, который исчез больше месяца назад и находится в российском СИЗО в Брянске, по обвинению в экстремизме. ","<div class=""article__subtitle"">Украинские консулы встретились с экс-охранником нардепа Дмитрия Яроша Александром Шумковым, который исчез больше месяца назад и находится в российском СИЗО в Брянске, по обвинению в экстремизме.</div>"
26,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:29</div>",," 15:29 Полторак похвалил своего подозреваемого в коррупции заместителя Министр обороны Украины Степан Полторак прокомментировал задержание правоохранителями его заместителя Игоря Павловского. ","<div class=""article__subtitle"">Министр обороны Украины Степан Полторак прокомментировал задержание правоохранителями его заместителя Игоря Павловского.</div>"
27,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:25</div>",," 15:25 Матиос призвал не подписывать изменения в КПК из-за правки Лозового Главный военный прокурор Анатолий Матиос призывает не подписывать изменения в Уголовно-процессуальный кодекс, потому что они ""разрушат следствие правоохранительных органов и ограничат права граждан"". ","<div class=""article__subtitle"">Главный военный прокурор Анатолий Матиос призывает не подписывать изменения в Уголовно-процессуальный кодекс, потому что они ""разрушат следствие правоохранительных органов и ограничат права граждан"".</div>"
28,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:18</div>",," 15:18 Четыре страны присоединились к продленным санкциям ЕС против РФ Албания, Черногория, Норвегия и Украина присоединились к продленным санкциям против РФ, введенным за нарушение территориальной целостности Украины. ","<div class=""article__subtitle"">Албания, Черногория, Норвегия и Украина присоединились к продленным санкциям против РФ, введенным за нарушение территориальной целостности Украины.</div>"
29,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:14</div>",," 15:14 фотоСуд в отношении замминистра обороны начал заседание Соломенский суд должен избрать меру пресечения Игорю Павловскому. ","<div class=""article__subtitle"">Соломенский суд должен избрать меру пресечения Игорю Павловскому.</div>"
30,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:13</div>",," 15:13 Климкин: Украина не будет лишать венгерское меньшинство языка  Украина не намерена ассимилировать, лишать идентичности или языка венгерское меньшинство. ","<div class=""article__subtitle"">Украина не намерена ассимилировать, лишать идентичности или языка венгерское меньшинство.</div>"
31,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:12</div>",," 15:12 В Донецкой области патруль ОБСЕ попал в аварию В Донецкой области произошло ДТП с участием патруля СММ и машины ВСУ. ","<div class=""article__subtitle"">В Донецкой области произошло ДТП с участием патруля СММ и машины ВСУ.</div>"
32,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">15:09</div>",," 15:09 Геращенко раскрыла истинные мотивы инициаторов ""языковой резолюции"" ПАСЕ Член украинской делегации в ПАСЕ Ирина Геращенко рассказала о скрытых мотивах делегатов от Венгрии и Румынии, которые добились резолюции с осуждением закона Украины об образовании. ","<div class=""article__subtitle"">Член украинской делегации в ПАСЕ Ирина Геращенко рассказала о скрытых мотивах делегатов от Венгрии и Румынии, которые добились резолюции с осуждением закона Украины об образовании.</div>"
33,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:51</div>",," 14:51 фото, видео Порошенко попробовал солдатский борщ и вспомнил Марину Президент Петр Порошенко попробовал солдатские блюда, приготовленные из сухого пайка, и назвал их ""новым поколением пищевого обеспечения"". ","<div class=""article__subtitle"">Президент Петр Порошенко попробовал солдатские блюда, приготовленные из сухого пайка, и назвал их ""новым поколением пищевого обеспечения"".</div>"
34,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:40</div>",," 14:40 Киев: Депутаты переименовали площадь и 10 улиц Киевский городской совет переименовал 10 улиц и переулков и Интернациональную площадь в Киеве. ","<div class=""article__subtitle"">Киевский городской совет переименовал 10 улиц и переулков и Интернациональную площадь в Киеве.</div>"
